,accuracy,recall,precision,F1,AUC,AUPR
10,0.49361565047721034,0.9863897848972476,0.02584278475368588,0.04464255401981439,0.9868463720694296,0.19830323734418098
9,0.4935961714553696,0.9846304193319119,0.0254818884101512,0.04412809777947611,0.9850442233603061,0.19229721355327983
8,0.4935964909416676,0.9848050650289457,0.025782179477395206,0.04456644538418192,0.9852240110548699,0.2014233010908752
7,0.4935546215816733,0.980695727710653,0.02527873675030242,0.043779292729605165,0.9809997646493495,0.18746015335377747
6,0.4935251290500515,0.9783744585983392,0.025477074006611655,0.04400412514447875,0.978612134347254,0.19518825374905166
5,0.49358673227497574,0.9839889380934157,0.02569164933113623,0.04437673480817127,0.9843798582510079,0.19510950789010473
4,0.49358358259864676,0.9836917366768112,0.025875677374054808,0.04460959534155693,0.9840766312950375,0.20127613278548495
3,0.4935765989836147,0.9828845698248683,0.02570979608929288,0.04441094955187326,0.9832477352350617,0.19488826479420046
2,0.4935850515859201,0.9836575668665221,0.025671634145419363,0.044346284323753336,0.9840402290683931,0.19617546885061543
1,0.49358159077655006,0.9833919535412073,0.02564589702190777,0.04432260149407655,0.9837690768043613,0.1963713751383481
0,0.48806276961391637,0.4739698941191478,0.006823627061522106,0.01265856257794161,0.4617925630793467,0.008942837185311447
