,alpha,accuracy,recall,precision,F1,AUC,AUPR
10,1.0,0.4911715302463887,0.7624889897277957,0.010722300100787768,0.020606267217337104,0.7571624414214493,0.015695905525444073
9,0.9,0.49055951543249854,0.7048278145293071,0.009411140451673882,0.018118745748057545,0.6979986895323211,0.012021081988984314
8,0.8,0.4906891427697378,0.7149798929649676,0.009568493287946558,0.01843464120623612,0.7084425646813067,0.01244088454442889
7,0.7,0.49062297921650816,0.7096446947193217,0.009399464302291296,0.018073779539116114,0.7028784061224789,0.011807670945171694
6,0.6,0.49055210432321184,0.7038687818538565,0.009694793680407245,0.018668339540714087,0.6970553485877762,0.01309096871008558
5,0.5,0.4907020445985932,0.7177585819376865,0.009514660585250977,0.01828202118633736,0.7113412582677665,0.012100722223642385
4,0.4,0.4900879720646901,0.6607013771192876,0.007891609023217814,0.015363292865193834,0.6526780324124004,0.008840868584565089
3,0.3,0.49107644022360625,0.7526821023089679,0.0103190543445242,0.019811674424508284,0.7470802886585771,0.014250967016570963
2,0.2,0.49097925054264824,0.7437119955776671,0.009863740660100281,0.019025949286728298,0.7378874407676975,0.012941149921543327
1,0.1,0.49048930821537695,0.6981197492391523,0.009349186886246525,0.01804044389408322,0.6912172753344621,0.012134046810226808
0,0.0,0.4895577387133006,0.6125831465383704,0.007216763636928178,0.013986954968990831,0.6033195677870813,0.007688636024754268
